"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.0976138949290739,0.175350621435298,-13.269045815604,3.50009053166678e-40,0.0686529191956345,0.136683387245579
"hotelResort Hotel",1.00399633523931,0.0173510775552522,0.22986302090618,0.818198211979468,0.970410429642037,1.03871320541513
"lead_time",1.00400528702551,8.95834524289352e-05,44.6208212449354,0,1.00382906839004,1.0041816572441
"total_nights",1.04868856375559,0.0031301754931553,15.1877735736359,4.26149684776557e-52,1.04227245683391,1.05514172779144
"adults",1.12674059706755,0.0156308165001749,7.63421650888674,2.27197828286665e-14,1.09335132381179,1.16236847101335
"children",1.11609432419576,0.0187891781257236,5.84567241532588,5.04526055016298e-09,1.07571219667566,1.15793810739024
"adr",1.00379348154718,0.00018611324264373,20.3440893692573,5.23757667770026e-92,1.00342727067664,1.00415963383614
"market_segmentComplementary",0.747983614591337,0.216016092842653,-1.34422488182701,0.178875677946528,0.490362712551103,1.14519444595837
"market_segmentCorporate",0.624559080210328,0.172833028086575,-2.72349188741665,0.00645958020528132,0.448255944727678,0.883721017189111
"market_segmentDirect",0.629660192712052,0.16884451101016,-2.73965069395813,0.00615045123744215,0.455643240069035,0.884397060853691
"market_segmentGroups",0.900146671293236,0.170275473075138,-0.617808066730011,0.536701865361161,0.649476185283595,1.26768662081732
"market_segmentOffline TA/TO",0.480843438415854,0.168440042324782,-4.34702784215313,1.37994708233322e-05,0.348243689623447,0.674869282692482
"market_segmentOnline TA",1.97688848601748,0.16722435774847,4.07550757627322,4.59140873021823e-05,1.43531360701464,2.7683472714605
"deposit_typeNon Refund",240.340644275629,0.107271097376389,51.1047001684757,0,196.007274561636,298.61294478268
"deposit_typeRefundable",0.871365534077654,0.205009704655417,-0.671644879776188,0.501809799702554,0.575923322242589,1.28918720940483
"customer_typeGroup",0.785806468352072,0.166774562825765,-1.44533276692429,0.148364438300825,0.561043822392456,1.07987812972612
"customer_typeTransient",2.00706182204174,0.05013135223772,13.8969295949938,6.61173503922982e-44,1.82039452106054,2.21576087536309
"customer_typeTransient-Party",1.29784869804486,0.0534486971613023,4.8777249939326,1.07316403999751e-06,1.16934190439346,1.44193592415645
"is_repeated_guest1",0.28887497657639,0.0746217191725682,-16.6407489031653,3.53173325205653e-62,0.249174242117943,0.33385985702207
"previous_cancellations",6.90106948664427,0.0479563149132428,40.2799172778645,0,6.28635665043844,7.58660874610684
"booking_changes",0.665462823416622,0.0153493898646326,-26.5334654298177,3.98557672380717e-155,0.645619970898888,0.685660824731334
"required_car_parking_spaces",2.91692514679523e-13,45.945721371998,-0.628199434408714,0.529873300774898,NA,1.68984225301434e-09
"total_of_special_requests",0.480831476727637,0.0113914884350642,-64.2794341296574,0,0.470190286974549,0.491663108989963
